Comment,Designator,Footprint,LCSC
"10uF","C1","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","C108529"
"100nF","C2","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"POWER ORANGE","D1","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C183851"
"FLOPPY GREEN","D2","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C2980185"
"READY RED","D3","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93133"
"Conn_01x08","P1","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"Conn_01x08","P2","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Conn_02x03","P3","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical",""
"Conn_01x02","P4,P5","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"330R","R1,R2,R3,R4,R5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C245520"
