"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","164.862mm","-116.8mm","top","180.0"
"C2","164.962mm","-114.2mm","top","180.0"
"D1","165.288mm","-103.1mm","top","0.0"
"D2","165.2mm","-108.3mm","top","0.0"
"D3","148mm","-119.4mm","top","0.0"
"P1","148.1mm","-124.6mm","top","90.0"
"P3","155.4mm","-108.1mm","top","0.0"
"P4","149.3mm","-106.6mm","top","270.0"
"P5","149.3mm","-113.2mm","top","270.0"
"R1","165.3mm","-105.6mm","top","0.0"
"R2","165.2mm","-110.9mm","top","0.0"
"R3","148.1mm","-116.7mm","top","0.0"
"R4","148mm","-103.3mm","top","0.0"
"R5","147.95mm","-110mm","top","0.0"
