Comment,Designator,Footprint,LCSC
"100nF","C1","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"100n","C3,C4,C6,C10,C11,C12,C13,C14","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C24497"
"10uF","C2","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","C108529"
"10u","C5","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","C108529"
"4.7uF","C7","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C7237"
"22pF","C8,C9","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","C1896"
"RED","D1,D4","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C93133"
"CONN_01X02","EN1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"CONN_01X01","H1,H2,H3,H4","RetroBitLab:MountingHole",""
"RJ10","J1","RetroBitLab:RJ10-RECEPTACLE-Assmann-ASS-2004-3-4-LP-N-R",""
"Conn_02x03_Odd_Even","J3","RetroBitLab:IDC-Header_2x03_P2.54mm_Vertical",""
"Conn_01x04","J4,J10","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"Conn_01x05","J5","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal",""
"Conn_01x03","J2,J6,J7","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Conn_01x02","J8,J9,J11","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"USB","LOGO1","RetroBitLab:USB_PLUG_15x15mm",""
"GPL","LOGO2","Symbol:KiCad-Logo2_12mm_SilkScreen",""
"STALKER!","LOGO3","RetroBitLab:Symbol_GNU-GPL_SilkScreen_Small",""
"Stalker Logo","LOGO4","RetroBitLab:Stalker_16.1x17.3mm",""
"BSS138","Q1,Q2,Q3","Package_TO_SOT_SMD:SOT-23","C489349"
"330R","R1,R5","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C245520"
"22R","R16,R17","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C114943"
"10K","R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","C17902"
"SW_PUSH","RESET1","RetroBitLab:SPST-7.3x3.9x2.5-WUERTH-434121025816","C318911"
"GND","TP1","TestPoint:TestPoint_Pad_D2.0mm",""
"AZ1117-3.3","U1","Package_TO_SOT_SMD:SOT-223","C126027 "
"STM32F401RBTx","U2","Package_QFP:LQFP-64_10x10mm_P0.5mm","C74524"
"USB_A_SMD_LCSC","USB1","RetroBitLab:USB_A_M04P-F000_LCSC_C386738","C386738"
"8Mhz","XT1","Crystal:Crystal_SMD_HC49-SD","C107426"
