"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";1;"10uF";;;
2;"C3,C4,C6,C10,C11,C12,C13,C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";8;"100n";;;
3;"C5";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"10u";;;
4;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4.7uF";;;
5;"C8,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"22pF";;;
6;"D1,D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"RED";;;
7;"EN1";"PinHeader_1x02_P2.54mm_Vertical";1;"CONN_01X02";;;
8;"H1,H2,H3,H4";"MountingHole";4;"CONN_01X01";;;
9;"J1";"RJ10-RECEPTACLE-Assmann-ASS-2004-3-4-LP-N-R";1;"RJ10";;;
10;"J2,J6,J7";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03";;;
11;"J3";"IDC-Header_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
12;"J4,J10";"PinHeader_1x04_P2.54mm_Horizontal";2;"Conn_01x04";;;
13;"J5";"PinHeader_1x05_P2.54mm_Horizontal";1;"Conn_01x05";;;
14;"J8,J9,J11";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
15;"Q1,Q2,Q3";"SOT-23";3;"BSS138";;;
16;"R1,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"330R";;;
17;"R4,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";11;"10K";;;
18;"R16,R17";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"22R";;;
19;"TP1";"TestPoint_Pad_D2.0mm";1;"GND";;;
20;"U1";"SOT-223";1;"AZ1117-3.3";;;
21;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RBTx";;;
22;"LOGO1";"USB_PLUG_15x15mm";1;"USB";;;
23;"LOGO2";"KiCad-Logo2_12mm_SilkScreen";1;"GPL";;;
24;"LOGO3";"Symbol_GNU-GPL_SilkScreen_Small";1;"STALKER!";;;
25;"LOGO4";"Stalker_16.1x17.3mm";1;"Stalker Logo";;;
26;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"100nF";;;
27;"RESET1";"SPST-7.3x3.9x2.5-WUERTH-434121025816";1;"SW_PUSH";;;
28;"XT1";"Crystal_SMD_HC49-SD";1;"8Mhz";;;
29;"USB1";"USB_A_M04P-F000_LCSC_C386738";1;"USB_A_SMD_LCSC";;;
