"Designator","Mid X","Mid Y","Layer","Rotation"
"C2","163mm","-80.5mm","top","180.0"
"C3","173mm","-83.5mm","top","90.0"
"C4","145mm","-85mm","top","0.0"
"C5","145mm","-103.5mm","top","0.0"
"C6","122.5mm","-94.5mm","top","0.0"
"C7","157mm","-103.5mm","top","180.0"
"C8","140.93mm","-87.82mm","top","180.0"
"C9","140.768mm","-100.76mm","top","180.0"
"C10","161mm","-99.5mm","top","90.0"
"C11","151mm","-103.5mm","top","180.0"
"C12","159.512mm","-88.6075mm","top","90.0"
"C13","151.562mm","-85mm","top","0.0"
"C14","157.838mm","-83.61mm","top","180.0"
"D1","177mm","-73.5mm","top","0.0"
"D4","130mm","-102mm","top","180.0"
"EN1","130mm","-93.5mm","top","0.0"
"J1","146mm","-106.5mm","top","0.0"
"J2","133.5mm","-72.5mm","top","90.0"
"J3","122.5mm","-110mm","top","0.0"
"J4","120mm","-76mm","top","90.0"
"J5","177mm","-104mm","top","0.0"
"J6","133.5mm","-68.5mm","top","90.0"
"J7","119.5mm","-84mm","top","90.0"
"J8","174.46mm","-120mm","top","90.0"
"J9","131mm","-82mm","top","0.0"
"J10","177mm","-79mm","top","0.0"
"J11","161.5mm","-68.5mm","top","0.0"
"Q1","135mm","-108.55mm","top","0.0"
"Q2","135mm","-114.525mm","top","0.0"
"Q3","135mm","-120.5mm","top","0.0"
"R1","183mm","-73.5mm","top","180.0"
"R4","119.95mm","-102mm","top","0.0"
"R5","130mm","-88.5mm","top","180.0"
"R6","113.5mm","-74mm","top","90.0"
"R7","113.5mm","-79.5mm","top","90.0"
"R8","125mm","-90mm","top","90.0"
"R9","122mm","-90mm","top","90.0"
"R10","141mm","-108.5mm","top","0.0"
"R11","141mm","-114.5mm","top","0.0"
"R12","141mm","-120.5mm","top","0.0"
"R13","131.5mm","-108.55mm","top","90.0"
"R14","131.5mm","-114.5mm","top","90.0"
"R15","131.5mm","-120.55mm","top","90.0"
"R16","138mm","-81.5mm","top","180.0"
"R17","138mm","-77.5mm","top","180.0"
"U1","167.64mm","-73.66mm","top","270.0"
"U2","148.8mm","-94.2mm","top","0.0"
"LOGO1","162.25mm","-116.25mm","top","0.0"
"LOGO3","167.91mm","-91.91mm","top","0.0"
"C1","177mm","-69mm","top","0.0"
"RESET1","114.3mm","-96.52mm","top","90.0"
"XT1","135.56mm","-94.38mm","top","270.0"
"USB1","150.23mm","-83.04mm","top","180.0"
