"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"USB1";"CUI_UJ2-AH-4-TH";1;"USB_A";;;
2;"C1";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";1;"10u";;;
3;"C2";"CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder";1;"22u";;;
4;"C3,C4,C6,C10,C11,C12,C13,C14";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";8;"100n";;;
5;"C5";"CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder";1;"10u";;;
6;"C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"4.7u";;;
7;"C8,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"20p";;;
8;"D1,D2,D3,D4";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"LED";;;
9;"EN1";"PinHeader_1x02_P2.54mm_Vertical";1;"CONN_01X02";;;
10;"H1,H2,H3,H4";"MountingHole";4;"CONN_01X01";;;
11;"J1";"RJ10-RECEPTACLE-Assmann-ASS-2004-3-4-LP-N-R";1;"RJ10";;;
12;"J2,J6,J7";"PinHeader_1x03_P2.54mm_Vertical";3;"Conn_01x03";;;
13;"J3";"IDC-Header_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
14;"J4,J10";"PinHeader_1x04_P2.54mm_Horizontal";2;"Conn_01x04";;;
15;"J5";"PinHeader_1x05_P2.54mm_Horizontal";1;"Conn_01x05";;;
16;"J8,J9,J11";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
17;"Q1,Q2,Q3";"SOT-23";3;"BSS138";;;
18;"R1,R2,R3,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";4;"1.5K";;;
19;"R4";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"22K";;;
20;"R6,R7,R8,R9,R10,R11,R12,R13,R14,R15";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";10;"10K";;;
21;"R16,R17";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"12ohm";;;
22;"RESET1";"SW_SPST_FSMSM_3D";1;"SW_PUSH";;;
23;"TP1";"TestPoint_Pad_D2.0mm";1;"GND";;;
24;"TP2";"amigaWorkBench1";1;"amigaWorkbench";;;
25;"TP3";"amigaLogo_BW_31x12mm";1;"amigaLogo";;;
26;"TP4";"Symbol_GNU-GPL_SilkScreen_Small";1;"GNU-GPL";;;
27;"U1";"SOT-223";1;"AZ1117-3.3";;;
28;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F401RBTx";;;
29;"XT1";"Crystal_HC49-4H_Vertical_3D";1;"8Mhz";;;
30;"TP5";"USB_PLUG_15x15mm";1;"USBLOGO";;;
